minute,heure,TV_W,Eclairage_LED_W,Ventilateur_W,Refrigerateur_W,Total_agrege_W
33,0.55,0.0,0.0,0.0,0.001,0.001
34,0.5666666666666667,0.0,0.0,0.0,0.001,0.001
35,0.5833333333333334,0.0,0.0,0.0,0.001,0.001
36,0.6,0.0,0.0,0.0,0.001,0.001
37,0.6166666666666667,0.0,0.0,0.0,0.001,0.001
38,0.6333333333333333,0.0,0.0,0.0,0.001,0.001
39,0.65,0.0,0.0,0.0,0.001,0.001
40,0.6666666666666666,0.0,0.0,0.0,0.001,0.001
41,0.6833333333333333,0.0,0.0,0.0,0.001,0.001
42,0.7,0.0,0.0,0.0,0.001,0.001
43,0.7166666666666667,0.0,0.0,0.0,0.001,0.001
44,0.7333333333333333,0.0,0.0,0.0,0.001,0.001
45,0.75,0.0,0.0,0.0,0.001,0.001
46,0.7666666666666667,0.0,0.0,0.0,0.001,0.001
47,0.7833333333333333,0.0,0.0,0.0,0.001,0.001
48,0.8,0.0,0.0,0.0,0.001,0.001
49,0.8166666666666667,0.0,0.0,0.0,0.001,0.001
50,0.8333333333333334,0.0,0.0,0.0,0.001,0.001
51,0.85,0.0,0.0,0.0,0.001,0.001
52,0.8666666666666667,0.0,0.0,0.0,0.001,0.001
53,0.8833333333333333,0.0,0.0,0.0,0.001,0.001
54,0.9,0.0,0.0,0.0,0.001,0.001
55,0.9166666666666666,0.0,0.0,0.0,0.001,0.001
56,0.9333333333333333,0.0,0.0,0.0,0.001,0.001
57,0.95,0.0,0.0,0.0,0.001,0.001
58,0.9666666666666667,0.0,0.0,0.0,0.001,0.001
59,0.9833333333333333,0.0,0.0,0.0,0.001,0.001
60,1.0,0.0,0.0,0.0,0.001,0.001
61,1.0166666666666666,0.0,0.0,0.0,0.001,0.001
62,1.0333333333333334,0.0,0.0,0.0,0.001,0.001
63,1.05,0.0,0.0,0.0,0.001,0.001
64,1.0666666666666667,0.0,0.0,0.0,0.001,0.001
65,1.0833333333333333,0.0,0.0,0.0,0.001,0.001
66,1.1,0.0,0.0,0.0,0.001,0.001
67,1.1166666666666667,0.0,0.0,0.0,0.001,0.001
68,1.1333333333333333,0.0,0.0,0.0,0.001,0.001
69,1.15,0.0,0.0,0.0,0.001,0.001
70,1.1666666666666667,0.0,0.0,0.0,0.001,0.001
71,1.1833333333333333,0.0,0.0,0.0,0.001,0.001
72,1.2,0.0,0.0,0.0,0.001,0.001
73,1.2166666666666666,0.0,0.0,0.0,0.001,0.001
74,1.2333333333333334,0.0,0.0,0.0,0.001,0.001
75,1.25,0.0,0.0,0.0,0.001,0.001
76,1.2666666666666666,0.0,0.0,0.0,0.001,0.001
77,1.2833333333333334,0.0,0.0,0.0,0.001,0.001
78,1.3,0.0,0.0,0.0,0.001,0.001
79,1.3166666666666667,0.0,0.0,0.0,0.001,0.001
80,1.3333333333333333,0.0,0.0,0.0,0.001,0.001
81,1.35,0.0,0.0,0.0,0.001,0.001
82,1.3666666666666667,0.0,0.0,0.0,0.001,0.001
83,1.3833333333333333,0.0,0.0,0.0,0.001,0.001
84,1.4,0.0,0.0,0.0,0.001,0.001
85,1.4166666666666667,0.0,0.0,0.0,0.001,0.001
86,1.4333333333333333,0.0,0.0,0.0,0.001,0.001
87,1.45,0.0,0.0,0.0,0.001,0.001
88,1.4666666666666666,0.0,0.0,0.0,0.001,0.001
89,1.4833333333333334,0.0,0.0,0.0,0.001,0.001
90,1.5,0.0,0.0,0.0,0.001,0.001
91,1.5166666666666666,0.0,0.0,0.0,0.001,0.001
92,1.5333333333333334,0.0,0.0,0.0,0.001,0.001
93,1.55,0.0,0.0,0.0,0.001,0.001
94,1.5666666666666667,0.0,0.0,0.0,0.001,0.001
95,1.5833333333333333,0.0,0.0,0.0,0.001,0.001
96,1.6,0.0,0.0,0.0,0.001,0.001
97,1.6166666666666667,0.0,0.0,0.0,0.001,0.001
98,1.6333333333333333,0.0,0.0,0.0,0.001,0.001
99,1.65,0.0,0.0,0.0,0.001,0.001
100,1.6666666666666667,0.0,0.0,0.0,0.001,0.001
101,1.6833333333333333,0.0,0.0,0.0,0.001,0.001
102,1.7,0.0,0.0,0.0,0.001,0.001
103,1.7166666666666666,0.0,0.0,0.0,0.001,0.001
104,1.7333333333333334,0.0,0.0,0.0,0.001,0.001
105,1.75,0.0,0.0,0.0,0.001,0.001
106,1.7666666666666666,0.0,0.0,0.0,0.001,0.001
107,1.7833333333333334,0.0,0.0,0.0,0.001,0.001
108,1.8,0.0,0.0,0.0,0.001,0.001
109,1.8166666666666667,0.0,0.0,0.0,0.001,0.001
110,1.8333333333333333,0.0,0.0,0.0,0.001,0.001
111,1.85,0.0,0.0,0.0,0.001,0.001
112,1.8666666666666667,0.0,0.0,0.0,0.001,0.001
113,1.8833333333333333,0.0,0.0,0.0,0.001,0.001
114,1.9,0.0,0.0,0.0,0.001,0.001
115,1.9166666666666667,0.0,0.0,0.0,0.001,0.001
116,1.9333333333333333,0.0,0.0,0.0,0.001,0.001
117,1.95,0.0,0.0,0.0,0.001,0.001
118,1.9666666666666666,0.0,0.0,0.0,0.001,0.001
119,1.9833333333333334,0.0,0.0,0.0,0.001,0.001
120,2.0,0.0,0.0,0.0,0.001,0.001
121,2.0166666666666666,0.0,0.0,0.0,0.001,0.001
122,2.033333333333333,0.0,0.0,0.0,0.001,0.001
123,2.05,0.0,0.0,0.0,0.001,0.001
124,2.066666666666667,0.0,0.0,0.0,0.001,0.001
125,2.0833333333333335,0.0,0.0,0.0,0.001,0.001
126,2.1,0.0,0.0,0.0,0.001,0.001
127,2.1166666666666667,0.0,0.0,0.0,0.001,0.001
128,2.1333333333333333,0.0,0.0,0.0,0.001,0.001
129,2.15,0.0,0.0,0.0,0.001,0.001
130,2.1666666666666665,0.0,0.0,0.0,0.001,0.001
131,2.183333333333333,0.0,0.0,0.0,0.001,0.001
132,2.2,0.0,0.0,0.0,0.001,0.001
133,2.216666666666667,0.0,0.0,0.0,0.001,0.001
134,2.2333333333333334,0.0,0.0,0.0,0.001,0.001
135,2.25,0.0,0.0,0.0,0.001,0.001
136,2.2666666666666666,0.0,0.0,0.0,0.001,0.001
137,2.283333333333333,0.0,0.0,0.0,0.001,0.001
138,2.3,0.0,0.0,0.0,0.001,0.001
139,2.316666666666667,0.0,0.0,0.0,0.001,0.001
140,2.3333333333333335,0.0,0.0,0.0,0.001,0.001
141,2.35,0.0,0.0,0.0,0.001,0.001
142,2.3666666666666667,0.0,0.0,0.0,0.001,0.001
143,2.3833333333333333,0.0,0.0,0.0,0.001,0.001
144,2.4,0.0,0.0,0.0,0.001,0.001
145,2.4166666666666665,0.0,0.0,0.0,0.001,0.001
146,2.433333333333333,0.0,0.0,0.0,0.001,0.001
147,2.45,0.0,0.0,0.0,0.001,0.001
148,2.466666666666667,0.0,0.0,0.0,0.001,0.001
149,2.4833333333333334,0.0,0.0,0.0,0.001,0.001
150,2.5,0.0,0.0,0.0,0.001,0.001
151,2.5166666666666666,0.0,0.0,0.0,0.001,0.001
152,2.533333333333333,0.0,0.0,0.0,0.001,0.001
153,2.55,0.0,0.0,0.0,0.001,0.001
154,2.566666666666667,0.0,0.0,0.0,0.001,0.001
155,2.5833333333333335,0.0,0.0,0.0,0.001,0.001
156,2.6,0.0,0.0,0.0,0.001,0.001
157,2.6166666666666667,0.0,0.0,0.0,0.001,0.001
158,2.6333333333333333,0.0,0.0,0.0,0.001,0.001
159,2.65,0.0,0.0,0.0,0.001,0.001
160,2.6666666666666665,0.0,0.0,0.0,0.001,0.001
161,2.683333333333333,0.0,0.0,0.0,0.001,0.001
162,2.7,0.0,0.0,0.0,0.001,0.001
163,2.716666666666667,0.0,0.0,0.0,0.001,0.001
164,2.7333333333333334,0.0,0.0,0.0,0.001,0.001
165,2.75,0.0,0.0,0.0,0.001,0.001
166,2.7666666666666666,0.0,0.0,0.0,0.001,0.001
167,2.783333333333333,0.0,0.0,0.0,0.001,0.001
168,2.8,0.0,0.0,0.0,0.001,0.001
169,2.816666666666667,0.0,0.0,0.0,0.001,0.001
170,2.8333333333333335,0.0,0.0,0.0,0.001,0.001
171,2.85,0.0,0.0,0.0,0.001,0.001
172,2.8666666666666667,0.0,0.0,0.0,0.001,0.001
173,2.8833333333333333,0.0,0.0,0.0,0.001,0.001
174,2.9,0.0,0.0,0.0,0.001,0.001
175,2.9166666666666665,0.0,0.0,0.0,0.001,0.001
176,2.933333333333333,0.0,0.0,0.0,0.001,0.001
177,2.95,0.0,0.0,0.0,0.001,0.001
178,2.966666666666667,0.0,0.0,0.0,0.001,0.001
179,2.9833333333333334,0.0,0.0,0.0,0.001,0.001
180,3.0,0.0,0.0,0.0,0.001,0.001
181,3.0166666666666666,0.0,0.0,0.0,0.001,0.001
182,3.033333333333333,0.0,0.0,0.0,0.001,0.001
183,3.05,0.0,0.0,0.0,0.001,0.001
184,3.066666666666667,0.0,0.0,0.0,0.001,0.001
185,3.0833333333333335,0.0,0.0,0.0,0.001,0.001
186,3.1,0.0,0.0,0.0,0.001,0.001
187,3.1166666666666667,0.0,0.0,0.0,0.001,0.001
188,3.1333333333333333,0.0,0.0,0.0,0.001,0.001
189,3.15,0.0,0.0,0.0,0.001,0.001
190,3.1666666666666665,0.0,0.0,0.0,0.001,0.001
191,3.183333333333333,0.0,0.0,0.0,0.001,0.001
192,3.2,0.0,0.0,0.0,0.001,0.001
193,3.216666666666667,0.0,0.0,0.0,0.001,0.001
194,3.2333333333333334,0.0,0.0,0.0,0.001,0.001
195,3.25,0.0,0.0,0.0,0.001,0.001
196,3.2666666666666666,0.0,0.0,0.0,0.001,0.001
197,3.283333333333333,0.0,0.0,0.0,0.001,0.001
198,3.3,0.0,0.0,0.0,0.001,0.001
199,3.316666666666667,0.0,0.0,0.0,0.001,0.001
200,3.3333333333333335,0.0,0.0,0.0,0.001,0.001
201,3.35,0.0,0.0,0.0,0.001,0.001
202,3.3666666666666667,0.0,0.0,0.0,0.001,0.001
203,3.3833333333333333,0.0,0.0,0.0,0.001,0.001
204,3.4,0.0,0.0,0.0,0.001,0.001
205,3.4166666666666665,0.0,0.0,0.0,0.001,0.001
206,3.433333333333333,0.0,0.0,0.0,0.001,0.001
207,3.45,0.0,0.0,0.0,0.001,0.001
208,3.466666666666667,0.0,0.0,0.0,0.001,0.001
209,3.4833333333333334,0.0,0.0,0.0,0.001,0.001
210,3.5,0.0,0.0,0.0,0.001,0.001
211,3.5166666666666666,0.0,0.0,0.0,0.001,0.001
212,3.533333333333333,0.0,0.0,0.0,0.001,0.001
213,3.55,0.0,0.0,0.0,0.001,0.001
214,3.566666666666667,0.0,0.0,0.0,0.001,0.001
215,3.5833333333333335,0.0,0.0,0.0,0.001,0.001
216,3.6,0.0,0.0,0.0,0.001,0.001
217,3.6166666666666667,0.0,0.0,0.0,0.001,0.001
218,3.6333333333333333,0.0,0.0,0.0,0.001,0.001
219,3.65,0.0,0.0,0.0,0.001,0.001
220,3.6666666666666665,0.0,0.0,0.0,0.001,0.001
221,3.683333333333333,0.0,0.0,0.0,0.001,0.001
222,3.7,0.0,0.0,0.0,0.001,0.001
223,3.716666666666667,0.0,0.0,0.0,0.001,0.001
224,3.7333333333333334,0.0,0.0,0.0,0.001,0.001
225,3.75,0.0,0.0,0.0,0.001,0.001
226,3.7666666666666666,0.0,0.0,0.0,0.001,0.001
227,3.783333333333333,0.0,0.0,0.0,0.001,0.001
228,3.8,0.0,0.0,0.0,0.001,0.001
229,3.816666666666667,0.0,0.0,0.0,0.001,0.001
230,3.8333333333333335,0.0,0.0,0.0,0.001,0.001
231,3.85,0.0,0.0,0.0,0.001,0.001
232,3.8666666666666667,0.0,0.0,0.0,0.001,0.001
233,3.8833333333333333,0.0,0.0,0.0,0.001,0.001
234,3.9,0.0,0.0,0.0,0.001,0.001
235,3.9166666666666665,0.0,0.0,0.0,0.001,0.001
236,3.933333333333333,0.0,0.0,0.0,0.001,0.001
237,3.95,0.0,0.0,0.0,0.001,0.001
238,3.966666666666667,0.0,0.0,0.0,0.001,0.001
239,3.9833333333333334,0.0,0.0,0.0,0.001,0.001
240,4.0,0.0,0.0,0.0,0.001,0.001
241,4.016666666666667,0.0,0.0,0.0,0.001,0.001
242,4.033333333333333,0.0,0.0,0.0,0.001,0.001
243,4.05,0.0,0.0,0.0,0.001,0.001
244,4.066666666666666,0.0,0.0,0.0,0.001,0.001
245,4.083333333333333,0.0,0.0,0.0,0.001,0.001
246,4.1,0.0,0.0,0.0,0.001,0.001
247,4.116666666666666,0.0,0.0,0.0,0.001,0.001
248,4.133333333333334,0.0,0.0,0.0,0.001,0.001
249,4.15,0.0,0.0,0.0,0.001,0.001
250,4.166666666666667,0.0,0.0,0.0,0.001,0.001
251,4.183333333333334,0.0,0.0,0.0,0.001,0.001
252,4.2,0.0,0.0,0.0,0.001,0.001
253,4.216666666666667,0.0,0.0,0.0,0.001,0.001
254,4.233333333333333,0.0,0.0,0.0,0.001,0.001
255,4.25,0.0,0.0,0.0,0.001,0.001
256,4.266666666666667,0.0,0.0,0.0,0.001,0.001
257,4.283333333333333,0.0,0.0,0.0,0.001,0.001
258,4.3,0.0,0.0,0.0,0.001,0.001
259,4.316666666666666,0.0,0.0,0.0,0.001,0.001
260,4.333333333333333,0.0,0.0,0.0,0.001,0.001
261,4.35,0.0,0.0,0.0,0.001,0.001
262,4.366666666666666,0.0,0.0,0.0,0.001,0.001
263,4.383333333333334,0.0,0.0,0.0,0.001,0.001
264,4.4,0.0,0.0,0.0,0.001,0.001
265,4.416666666666667,0.0,0.0,0.0,0.001,0.001
266,4.433333333333334,0.0,0.0,0.0,0.001,0.001
267,4.45,0.0,0.0,0.0,0.001,0.001
268,4.466666666666667,0.0,0.0,0.0,0.001,0.001
269,4.483333333333333,0.0,0.0,0.0,0.001,0.001
270,4.5,0.0,0.0,0.0,0.001,0.001
271,4.516666666666667,0.0,0.0,0.0,0.001,0.001
272,4.533333333333333,0.0,0.0,0.0,0.001,0.001
273,4.55,0.0,0.0,0.0,0.001,0.001
274,4.566666666666666,0.0,0.0,0.0,0.001,0.001
275,4.583333333333333,0.0,0.0,0.0,0.001,0.001
276,4.6,0.0,0.0,0.0,0.001,0.001
277,4.616666666666666,0.0,0.0,0.0,0.001,0.001
278,4.633333333333334,0.0,0.0,0.0,0.001,0.001
279,4.65,0.0,0.0,0.0,0.001,0.001
280,4.666666666666667,0.0,0.0,0.0,0.001,0.001
281,4.683333333333334,0.0,0.0,0.0,0.001,0.001
282,4.7,0.0,0.0,0.0,0.001,0.001
283,4.716666666666667,0.0,0.0,0.0,0.001,0.001
284,4.733333333333333,0.0,0.0,0.0,0.001,0.001
285,4.75,0.0,0.0,0.0,0.001,0.001
286,4.766666666666667,0.0,0.0,0.0,0.001,0.001
287,4.783333333333333,0.0,0.0,0.0,0.001,0.001
288,4.8,0.0,0.0,0.0,0.001,0.001
289,4.816666666666666,0.0,0.0,0.0,0.001,0.001
290,4.833333333333333,0.0,0.0,0.0,0.001,0.001
291,4.85,0.0,0.0,0.0,0.001,0.001
292,4.866666666666666,0.0,0.0,0.0,0.001,0.001
293,4.883333333333334,0.0,0.0,0.0,0.001,0.001
294,4.9,0.0,0.0,0.0,0.001,0.001
295,4.916666666666667,0.0,0.0,0.0,150.0,150.0
296,4.933333333333334,0.0,0.0,0.0,150.0,150.0
297,4.95,0.0,0.0,0.0,150.0,150.0
298,4.966666666666667,0.0,0.0,0.0,150.0,150.0
299,4.983333333333333,0.0,0.0,0.0,150.0,150.0
300,5.0,0.0,0.0,0.0,150.0,150.0
301,5.016666666666667,0.0,0.0,0.0,150.0,150.0
302,5.033333333333333,0.0,0.0,0.0,150.0,150.0
303,5.05,0.0,0.0,0.0,150.0,150.0
304,5.066666666666666,0.0,0.0,0.0,150.0,150.0
305,5.083333333333333,0.0,0.0,0.0,150.0,150.0
306,5.1,0.0,0.0,0.0,150.0,150.0
307,5.116666666666666,0.0,0.0,0.0,150.0,150.0
308,5.133333333333334,0.0,0.0,0.0,150.0,150.0
309,5.15,0.0,0.0,0.0,150.0,150.0
310,5.166666666666667,0.0,0.0,0.0,150.0,150.0
311,5.183333333333334,0.0,0.0,0.0,150.0,150.0
312,5.2,0.0,0.0,0.0,150.0,150.0
313,5.216666666666667,0.0,0.0,0.0,150.0,150.0
314,5.233333333333333,0.0,0.0,0.0,150.0,150.0
315,5.25,0.0,0.0,0.0,150.0,150.0
316,5.266666666666667,0.0,0.0,0.0,150.0,150.0
317,5.283333333333333,0.0,0.0,0.0,150.0,150.0
318,5.3,0.0,0.0,0.0,150.0,150.0
319,5.316666666666666,0.0,0.0,0.0,150.0,150.0
320,5.333333333333333,0.0,0.0,0.0,150.0,150.0
321,5.35,0.0,0.0,0.0,150.0,150.0
322,5.366666666666666,0.0,0.0,0.0,150.0,150.0
323,5.383333333333334,0.0,0.0,0.0,150.0,150.0
324,5.4,0.0,0.0,0.0,150.0,150.0
325,5.416666666666667,0.0,0.0,0.0,150.0,150.0
326,5.433333333333334,0.0,0.0,0.0,150.0,150.0
327,5.45,0.0,0.0,0.0,150.0,150.0
328,5.466666666666667,0.0,0.0,0.0,150.0,150.0
329,5.483333333333333,0.0,0.0,0.0,150.0,150.0
330,5.5,0.0,0.0,0.0,150.0,150.0
331,5.516666666666667,0.0,0.0,0.0,150.0,150.0
332,5.533333333333333,0.0,0.0,0.0,150.0,150.0
333,5.55,0.0,0.0,0.0,150.0,150.0
334,5.566666666666666,0.0,0.0,0.0,150.0,150.0
335,5.583333333333333,0.0,0.0,0.0,150.0,150.0
336,5.6,0.0,0.0,0.0,150.0,150.0
337,5.616666666666666,0.0,0.0,0.0,150.0,150.0
338,5.633333333333334,0.0,0.0,0.0,150.0,150.0
339,5.65,0.0,0.0,0.0,150.0,150.0
340,5.666666666666667,0.0,0.0,0.0,150.0,150.0
341,5.683333333333334,0.0,0.0,0.0,150.0,150.0
342,5.7,0.0,0.0,0.0,150.0,150.0
343,5.716666666666667,0.0,0.0,0.0,150.0,150.0
344,5.733333333333333,0.0,0.0,0.0,150.0,150.0
345,5.75,0.0,0.0,0.0,150.0,150.0
346,5.766666666666667,0.0,0.0,0.0,150.0,150.0
347,5.783333333333333,0.0,0.0,0.0,150.0,150.0
348,5.8,0.0,0.0,0.0,150.0,150.0
349,5.816666666666666,0.0,0.0,0.0,150.0,150.0
350,5.833333333333333,0.0,0.0,0.0,150.0,150.0
351,5.85,0.0,0.0,0.0,150.0,150.0
352,5.866666666666666,0.0,0.0,0.0,150.0,150.0
353,5.883333333333334,0.0,0.0,0.0,150.0,150.0
354,5.9,0.0,0.0,0.0,150.0,150.0
355,5.916666666666667,0.0,0.0,0.0,150.0,150.0
356,5.933333333333334,0.0,0.0,0.0,150.0,150.0
357,5.95,0.0,0.0,0.0,150.0,150.0
358,5.966666666666667,0.0,0.0,0.0,150.0,150.0
359,5.983333333333333,0.0,0.0,0.0,150.0,150.0
360,6.0,0.0,0.0,0.0,150.0,150.0
361,6.016666666666667,0.0,0.0,0.0,150.0,150.0
362,6.033333333333333,0.0,0.0,0.0,150.0,150.0
363,6.05,0.0,0.0,0.0,150.0,150.0
364,6.066666666666666,0.0,0.0,0.0,150.0,150.0
365,6.083333333333333,0.0,0.0,0.0,150.0,150.0
366,6.1,0.0,0.0,0.0,150.0,150.0
367,6.116666666666666,0.0,0.0,0.0,150.0,150.0
368,6.133333333333334,0.0,0.0,0.0,150.0,150.0
369,6.15,0.0,0.0,0.0,150.0,150.0
370,6.166666666666667,0.0,0.0,0.0,150.0,150.0
371,6.183333333333334,0.0,0.0,0.0,150.0,150.0
372,6.2,0.0,0.0,0.0,150.0,150.0
373,6.216666666666667,0.0,0.0,0.0,150.0,150.0
374,6.233333333333333,0.0,0.0,0.0,150.0,150.0
375,6.25,0.0,0.0,0.0,150.0,150.0
376,6.266666666666667,0.0,0.0,0.0,150.0,150.0
377,6.283333333333333,0.0,0.0,0.0,150.0,150.0
378,6.3,0.0,0.0,0.0,150.0,150.0
379,6.316666666666666,0.0,0.0,0.0,150.0,150.0
380,6.333333333333333,0.0,0.0,0.0,150.0,150.0
381,6.35,0.0,0.0,0.0,150.0,150.0
382,6.366666666666666,0.0,0.0,0.0,150.0,150.0
383,6.383333333333334,0.0,0.0,0.0,150.0,150.0
384,6.4,0.0,0.0,0.0,150.0,150.0
385,6.416666666666667,0.0,0.0,0.0,150.0,150.0
386,6.433333333333334,0.0,0.0,0.0,150.0,150.0
387,6.45,0.0,0.0,0.0,150.0,150.0
388,6.466666666666667,0.0,0.0,0.0,150.0,150.0
389,6.483333333333333,0.0,0.0,0.0,150.0,150.0
390,6.5,0.0,0.0,0.0,0.001,0.001
391,6.516666666666667,0.0,0.0,0.0,0.001,0.001
392,6.533333333333333,0.0,0.0,0.0,0.001,0.001
393,6.55,0.0,0.0,0.0,0.001,0.001
394,6.566666666666666,0.0,0.0,0.0,0.001,0.001
395,6.583333333333333,0.0,0.0,0.0,0.001,0.001
396,6.6,0.0,0.0,0.0,0.001,0.001
397,6.616666666666666,0.0,0.0,0.0,0.001,0.001
398,6.633333333333334,0.0,0.0,0.0,0.001,0.001
399,6.65,0.0,0.0,0.0,0.001,0.001
400,6.666666666666667,0.0,0.0,0.0,0.001,0.001
401,6.683333333333334,0.0,0.0,0.0,0.001,0.001
402,6.7,0.0,0.0,0.0,0.001,0.001
403,6.716666666666667,0.0,0.0,0.0,0.001,0.001
404,6.733333333333333,0.0,0.0,0.0,0.001,0.001
405,6.75,0.0,0.0,0.0,0.001,0.001
406,6.766666666666667,0.0,0.0,0.0,0.001,0.001
407,6.783333333333333,0.0,0.0,0.0,0.001,0.001
408,6.8,0.0,0.0,0.0,0.001,0.001
409,6.816666666666666,0.0,0.0,0.0,0.001,0.001
410,6.833333333333333,0.0,0.0,0.0,0.001,0.001
411,6.85,0.0,0.0,0.0,0.001,0.001
412,6.866666666666666,0.0,0.0,0.0,0.001,0.001
413,6.883333333333334,0.0,0.0,0.0,0.001,0.001
414,6.9,0.0,0.0,0.0,0.001,0.001
415,6.916666666666667,0.0,0.0,0.0,0.001,0.001
416,6.933333333333334,0.0,0.0,0.0,0.001,0.001
417,6.95,0.0,0.0,0.0,0.001,0.001
418,6.966666666666667,0.0,0.0,0.0,0.001,0.001
419,6.983333333333333,0.0,0.0,0.0,0.001,0.001
420,7.0,0.0,0.0,0.0,0.001,0.001
421,7.016666666666667,0.0,0.0,0.0,0.001,0.001
422,7.033333333333333,0.0,0.0,0.0,0.001,0.001
423,7.05,0.0,0.0,0.0,0.001,0.001
424,7.066666666666666,0.0,0.0,0.0,0.001,0.001
425,7.083333333333333,0.0,0.0,0.0,0.001,0.001
426,7.1,0.0,0.0,0.0,0.001,0.001
427,7.116666666666666,0.0,0.0,0.0,0.001,0.001
428,7.133333333333334,0.0,0.0,0.0,0.001,0.001
429,7.15,0.0,0.0,0.0,0.001,0.001
430,7.166666666666667,0.0,0.0,0.0,0.001,0.001
431,7.183333333333334,0.0,0.0,0.0,0.001,0.001
432,7.2,0.0,0.0,0.0,0.001,0.001
433,7.216666666666667,0.0,0.0,0.0,0.001,0.001
434,7.233333333333333,0.0,0.0,0.0,0.001,0.001
435,7.25,0.0,0.0,0.0,0.001,0.001
436,7.266666666666667,0.0,0.0,0.0,0.001,0.001
437,7.283333333333333,0.0,0.0,0.0,0.001,0.001
438,7.3,0.0,0.0,0.0,0.001,0.001
439,7.316666666666666,0.0,0.0,0.0,0.001,0.001
440,7.333333333333333,0.0,0.0,0.0,0.001,0.001
441,7.35,0.0,0.0,0.0,0.001,0.001
442,7.366666666666666,0.0,0.0,0.0,0.001,0.001
443,7.383333333333334,0.0,0.0,0.0,0.001,0.001
444,7.4,0.0,0.0,0.0,0.001,0.001
445,7.416666666666667,0.0,0.0,0.0,0.001,0.001
446,7.433333333333334,0.0,0.0,0.0,0.001,0.001
447,7.45,0.0,0.0,0.0,0.001,0.001
448,7.466666666666667,0.0,0.0,0.0,0.001,0.001
449,7.483333333333333,0.0,0.0,0.0,0.001,0.001
450,7.5,0.0,0.0,0.0,0.001,0.001
451,7.516666666666667,0.0,0.0,0.0,0.001,0.001
452,7.533333333333333,0.0,0.0,0.0,0.001,0.001
453,7.55,0.0,0.0,0.0,0.001,0.001
454,7.566666666666666,0.0,0.0,0.0,0.001,0.001
455,7.583333333333333,0.0,0.0,0.0,0.001,0.001
456,7.6,0.0,0.0,0.0,0.001,0.001
457,7.616666666666666,0.0,0.0,0.0,0.001,0.001
458,7.633333333333334,0.0,0.0,0.0,0.001,0.001
459,7.65,0.0,0.0,0.0,0.001,0.001
460,7.666666666666667,0.0,0.0,0.0,0.001,0.001
461,7.683333333333334,0.0,0.0,0.0,0.001,0.001
462,7.7,0.0,0.0,0.0,0.001,0.001
463,7.716666666666667,0.0,0.0,0.0,0.001,0.001
464,7.733333333333333,0.0,0.0,0.0,0.001,0.001
465,7.75,0.0,0.0,0.0,0.001,0.001
466,7.766666666666667,0.0,0.0,0.0,0.001,0.001
467,7.783333333333333,0.0,0.0,0.0,0.001,0.001
468,7.8,0.0,0.0,0.0,0.001,0.001
469,7.816666666666666,0.0,0.0,0.0,0.001,0.001
470,7.833333333333333,0.0,0.0,0.0,0.001,0.001
471,7.85,0.0,0.0,0.0,0.001,0.001
472,7.866666666666666,0.0,0.0,0.0,0.001,0.001
473,7.883333333333334,0.0,0.0,0.0,0.001,0.001
474,7.9,0.0,0.0,0.0,0.001,0.001
475,7.916666666666667,0.0,0.0,0.0,0.001,0.001
476,7.933333333333334,0.0,0.0,0.0,0.001,0.001
477,7.95,0.0,0.0,0.0,0.001,0.001
478,7.966666666666667,0.0,0.0,0.0,0.001,0.001
479,7.983333333333333,0.0,0.0,0.0,0.001,0.001
